,Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit,Profit_Margin,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Customer_Segment,Device_Type,age
19,ORD113818,2025-11-14,CUST12833,Shruti Mehta,Male,30.0,26-35,Ahmedabad,Gujarat,West,23.0225,72.5714,P1020,Fastrack Casual Watch,Fashion,Watches,1,1800.57,30.6,1248.9,1016.24,232.66,18.63,Wallet,Delivered,3,4.1,Corporate,Mobile App,30
20,ORD102536,2024-06-12,CUST10331,Amit Naidu,Male,35.0,26-35,Pune,Maharashtra,West,18.5204,73.8567,P1039,Aashirvaad Atta 10Kg,Grocery,Staples,5,543.32,4.3,2601.01,2382.91,218.1,8.39,Cash On Delivery,Delivered,3,4.8,Budget,Mobile Web,35
21,ORD106841,2024-12-19,CUST10907,Rajesh Shah,Male,53.0,46-60,Surat,Gujarat,West,21.1702,72.8311,P1066,Voltas 1.5T Split Ac,Appliances,Air Conditioners,1,35782.61,13.2,31051.63,29974.31,1077.32,3.47,Debit Card,Delivered,3,4.4,Regular,Mobile App,53
22,ORD105862,2024-11-09,CUST13445,Rohan Sheikh,Female,37.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1022,Hidesign Leather Handbag,Fashion,Bags,2,4304.28,30.3,6003.0,5129.26,873.74,14.56,Upi,Delivered,6,3.3,Regular,Mobile App,37
23,ORD101545,2024-04-15,CUST13136,Neha Naidu,Female,33.0,26-35,Kochi,Kerala,South,9.9312,76.2673,P1031,Minimalist Vitamin C Serum,Beauty,Skincare,2,678.52,16.5,1133.23,730.67,402.56,35.52,Cash On Delivery,Delivered,8,4.2,Premium,Mobile App,33
24,ORD112022,2025-09-18,CUST10744,Amit Sharma,Male,40.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1064,Bajaj 20L Solo Microwave,Appliances,Microwaves,1,6673.93,16.0,5607.99,4999.13,608.86,10.86,Credit Card,Delivered,4,5.0,Premium,Mobile App,40
25,ORD114361,2025-12-03,CUST10560,Deepak Shah,Male,41.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1012,Allen Solly Formal Shirt,Fashion,Men'S Clothing,1,1385.68,30.5,963.03,786.19,176.84,18.36,Upi,Delivered,4,5.0,Budget,Mobile App,41
26,ORD109501,2025-05-20,CUST10996,Pooja Mehta,Female,51.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1007,Sony Wh-Ch520,Electronics,Headphones,1,6722.21,5.1,6382.07,5039.95,1342.12,21.03,Upi,Delivered,3,5.0,Regular,Tablet,51
27,ORD111084,2025-08-09,CUST10659,Sunita Das,Female,40.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1064,Bajaj 20L Solo Microwave,Appliances,Microwaves,1,7824.36,8.9,7126.55,5971.36,1155.19,16.21,Upi,Delivered,4,4.1,Regular,Mobile App,40
28,ORD102412,2024-06-03,CUST11667,Manish Khan,Male,41.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1033,Mamaearth Onion Shampoo,Beauty,Haircare,4,459.86,17.9,1510.35,933.3,577.05,38.21,Upi,Delivered,4,4.4,Regular,Mobile App,41
29,ORD110601,2025-07-17,CUST13568,Aarav Shah,Male,18.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1021,Wildcraft Laptop Backpack,Fashion,Bags,3,2521.57,20.2,6038.35,4607.19,1431.16,23.7,Cash On Delivery,Delivered,3,5.0,Regular,Mobile App,18
30,ORD100155,2024-01-11,CUST11687,Yash Banerjee,Female,28.0,26-35,Delhi,Delhi,North,28.7041,77.1025,P1067,Blue Star 1T Window Ac,Appliances,Air Conditioners,2,29210.35,16.8,48608.43,46909.89,1698.54,3.49,Upi,Delivered,5,4.4,Regular,Mobile App,28
31,ORD104025,2024-09-04,CUST10935,Vivaan Pillai,Male,38.0,36-45,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1032,Cetaphil Moisturiser,Beauty,Skincare,2,972.31,10.2,1745.61,1143.46,602.15,34.5,Upi,Shipped,7,3.9,Premium,Mobile App,38
32,ORD108125,2025-03-06,CUST12949,Aarav Gill,Female,46.0,46-60,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1043,Bru Instant Coffee 200G,Grocery,Beverages,4,510.84,12.1,1796.61,1769.46,27.15,1.51,Debit Card,Delivered,3,4.8,Premium,Mobile App,46
33,ORD106046,2024-11-16,CUST11290,Swapnil Das,Female,44.0,36-45,Mumbai,Maharashtra,West,19.076,72.8777,P1017,Bata Formal Shoes,Fashion,Footwear,2,2185.91,34.6,2858.37,2597.14,261.23,9.14,Debit Card,Delivered,5,4.0,Regular,Desktop,44
34,ORD103379,2024-07-31,CUST11109,Priya Bhat,Male,32.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1040,India Gate Basmati Rice 5Kg,Grocery,Staples,3,788.28,0.0,2364.84,2082.92,281.92,11.92,Debit Card,Delivered,5,4.5,Premium,Mobile App,32
35,ORD100998,2024-03-12,CUST12023,Kavya Sharma,Female,32.0,26-35,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,21645.22,17.4,17868.58,18199.04,-330.46,-1.85,Net Banking,Delivered,4,4.4,Budget,Mobile App,32
36,ORD104791,2024-10-05,CUST12659,Shruti Iyer,Male,33.0,26-35,Thiruvananthapuram,Kerala,South,8.5241,76.9366,P1036,Maybelline Fit Me Foundation,Beauty,Makeup,1,921.68,19.5,742.28,504.84,237.44,31.99,Credit Card,Delivered,5,4.7,Premium,Mobile App,33
37,ORD109374,2025-05-15,CUST10012,Suresh Kaur,Male,29.0,26-35,Surat,Gujarat,West,21.1702,72.8311,P1021,Wildcraft Laptop Backpack,Fashion,Bags,2,2748.9,25.4,4103.68,3338.58,765.1,18.64,Credit Card,Delivered,2,4.4,Premium,Mobile App,29
38,ORD113158,2025-10-24,CUST12346,Aarav Patil,Male,27.0,26-35,Jaipur,Rajasthan,North,26.9124,75.7873,P1038,Fogg Body Spray,Beauty,Fragrances,2,379.59,19.8,609.13,424.63,-148.88,-24.44,Upi,Returned,5,2.9,Regular,Desktop,27
39,ORD105327,2024-10-22,CUST10490,Ananya Chatterjee,Male,37.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1038,Fogg Body Spray,Beauty,Fragrances,1,331.71,28.5,237.32,181.97,55.35,23.32,Net Banking,Delivered,3,3.9,Regular,Desktop,37
40,ORD111149,2025-08-12,CUST13369,Ishita Nair,Female,32.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,2,1227.89,7.8,2263.97,2305.87,-41.9,-1.85,Net Banking,Delivered,3,4.6,Regular,Mobile App,32
41,ORD107468,2025-01-22,CUST11839,Diya Pillai,Female,39.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1061,Samsung 192L Single Door,Appliances,Refrigerators,1,21032.23,0.9,20850.01,16503.12,-3105.82,-14.9,Upi,Returned,5,3.3,Corporate,Desktop,39
42,ORD107364,2025-01-15,CUST13154,Farhan Iyer,Female,32.0,26-35,Kolkata,West Bengal,East,22.5726,88.3639,P1055,India After Gandhi,Books,Non-Fiction,2,631.57,0.0,1263.14,947.84,315.3,24.96,Net Banking,Delivered,3,5.0,Corporate,Desktop,32
43,ORD111413,2025-08-25,CUST12353,Vikram Gupta,Male,38.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1050,Adidas Track Pants,Sports,Sportswear,1,2470.57,1.2,2439.85,1644.06,-292.39,-11.98,Cash On Delivery,Returned,6,3.1,Premium,Mobile App,38
44,ORD103447,2024-08-04,CUST12181,Aarav Pillai,Female,54.0,46-60,Bengaluru,Karnataka,South,12.9716,77.5946,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,3,795.4,11.9,2101.64,2126.29,-402.75,-19.16,Upi,Returned,2,3.5,Budget,Mobile App,54
45,ORD109618,2025-05-25,CUST12913,Pooja Chatterjee,Male,36.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,1,10295.58,3.6,9920.0,7628.12,2291.88,23.1,Upi,Delivered,2,4.6,Budget,Mobile App,36
46,ORD104431,2024-09-21,CUST11810,Meera Deshmukh,Female,21.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1006,Boat Rockerz 450,Electronics,Headphones,1,1965.06,20.8,1555.44,1282.51,272.93,17.55,Upi,Delivered,3,4.5,Budget,Mobile App,21
47,ORD113077,2025-10-22,CUST10202,Kabir Bhat,Male,25.0,18-25,Mumbai,Maharashtra,West,19.076,72.8777,P1050,Adidas Track Pants,Sports,Sportswear,1,3699.14,16.7,3079.79,2520.8,558.99,18.15,Credit Card,Delivered,4,4.7,Regular,Mobile App,25
48,ORD106726,2024-12-13,CUST12813,Nikhil Pandey,Male,19.0,18-25,Mysuru,Karnataka,South,12.2958,76.6394,P1037,Nykaa Eau De Parfum,Beauty,Fragrances,2,1232.23,14.6,2105.06,1229.42,-286.44,-13.61,Upi,Returned,6,4.0,Budget,Desktop,19
49,ORD104414,2024-09-21,CUST12159,Tejas Kulkarni,Male,29.0,26-35,Pune,Maharashtra,West,18.5204,73.8567,P1013,Us Polo Assn Polo T-Shirt,Fashion,Men'S Clothing,1,1583.83,17.4,1308.68,901.03,407.65,31.15,Upi,Delivered,6,4.0,Premium,Mobile App,29
50,ORD100610,2024-02-13,CUST10824,Ananya Mishra,Male,40.0,36-45,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1043,Bru Instant Coffee 200G,Grocery,Beverages,1,604.68,13.8,520.99,517.5,3.49,0.67,Debit Card,Delivered,8,4.4,Premium,Mobile App,40
51,ORD100664,2024-02-17,CUST11253,Aditya Iyer,Female,31.0,26-35,Coimbatore,Tamil Nadu,South,11.0168,76.9558,P1046,Maggi Noodles Pack Of 12,Grocery,Packaged Food,1,152.83,7.8,140.92,135.44,5.48,3.89,Cash On Delivery,Delivered,5,4.3,Budget,Mobile Web,31
52,ORD106499,2024-12-03,CUST13229,Yash Mishra,Female,30.0,26-35,Guwahati,Assam,Northeast,26.1445,91.7362,P1007,Sony Wh-Ch520,Electronics,Headphones,1,3759.96,12.5,3288.52,2862.42,426.1,12.96,Upi,Delivered,6,4.3,Premium,Mobile App,30
53,ORD103996,2024-09-02,CUST12336,Rohan Pandey,Female,38.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1007,Sony Wh-Ch520,Electronics,Headphones,1,5434.97,13.6,4695.29,4091.11,604.18,12.87,Upi,Delivered,2,5.0,Corporate,Desktop,38
54,ORD107794,2025-02-13,CUST10930,Pooja Naidu,Female,34.0,26-35,Hyderabad,Telangana,South,17.385,78.4867,P1010,Apple Watch Se,Electronics,Smart Watches,3,39635.94,2.4,116085.52,106640.16,9445.36,8.14,Credit Card,Delivered,3,4.9,Regular,Mobile App,34
55,ORD104812,2024-10-06,CUST10406,Vivaan Sheikh,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1053,The White Tiger,Books,Fiction,3,623.75,13.0,1627.74,1358.24,269.5,16.56,Upi,Delivered,4,4.8,Premium,Desktop,32
56,ORD104848,2024-10-07,CUST12627,Deepak Chatterjee,Male,40.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1016,Fabindia Cotton Saree,Fashion,Women'S Clothing,2,5058.28,27.6,7319.63,5953.39,1366.24,18.67,Cash On Delivery,Delivered,5,3.7,Budget,Mobile App,40
57,ORD102092,2024-05-16,CUST11225,Sameer Reddy,Male,21.0,18-25,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,23707.45,19.7,19027.33,19670.2,-642.87,-3.38,Credit Card,Delivered,3,4.9,Premium,Mobile App,21
58,ORD112874,2025-10-17,CUST12175,Anil Chauhan,Male,52.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1005,Lenovo Ideapad Slim 3,Electronics,Laptops,1,62498.75,10.9,55663.58,51705.16,3958.42,7.11,Emi,Delivered,3,4.3,Corporate,Mobile App,52
59,ORD104552,2024-09-26,CUST13118,Anil Pandey,Female,44.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1029,Pepperfry Table Lamp,Home & Furniture,Home Decor,1,1889.77,11.8,1665.97,1273.25,392.72,23.57,Upi,Delivered,3,5.0,Premium,Mobile Web,44
60,ORD100150,2024-01-11,CUST12052,Suresh Sharma,Male,28.0,26-35,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,23011.91,10.7,20544.36,18652.86,1891.5,9.21,Net Banking,Delivered,4,4.0,Regular,Mobile Web,28
61,ORD101321,2024-04-01,CUST10595,Aditi Sharma,Male,43.0,36-45,Kolkata,West Bengal,East,22.5726,88.3639,P1005,Lenovo Ideapad Slim 3,Electronics,Laptops,1,46247.69,11.7,40814.8,38791.46,2023.34,4.96,Debit Card,Delivered,2,4.7,Regular,Mobile Web,43
62,ORD104594,2024-09-28,CUST11509,Pooja Rao,Male,42.0,36-45,Mysuru,Karnataka,South,12.2958,76.6394,P1006,Boat Rockerz 450,Electronics,Headphones,1,2318.74,13.0,2016.56,1616.75,399.81,19.83,Debit Card,Delivered,7,4.0,Premium,Mobile Web,42
63,ORD114788,2025-12-22,CUST10496,Ananya Chatterjee,Male,39.0,36-45,Pune,Maharashtra,West,18.5204,73.8567,P1028,Chumbak Wall Clock,Home & Furniture,Home Decor,3,1356.11,16.2,3407.74,2581.6,826.14,24.24,Credit Card,Delivered,3,4.3,Budget,Mobile App,39
64,ORD104550,2024-09-26,CUST10807,Rajesh Pandey,Female,29.0,26-35,Gurugram,Haryana,North,28.4595,77.0266,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,2,14998.75,11.1,26654.25,21765.83,4888.42,18.34,Credit Card,Delivered,4,5.0,Premium,Mobile App,29
65,ORD106110,2024-11-18,CUST10240,Anjali Iyer,Male,46.0,46-60,Coimbatore,Tamil Nadu,South,11.0168,76.9558,P1042,Tata Tea Premium 1Kg,Grocery,Beverages,2,387.49,17.5,639.2,658.72,-19.52,-3.05,Upi,Delivered,6,3.2,Budget,Mobile App,46
66,ORD105477,2024-10-26,CUST11178,Yash Joshi,Male,38.0,36-45,Mumbai,Maharashtra,West,19.076,72.8777,P1036,Maybelline Fit Me Foundation,Beauty,Makeup,1,1165.8,24.6,878.52,608.84,269.68,30.7,Upi,Delivered,5,3.8,Budget,Mobile App,38
67,ORD113392,2025-10-31,CUST11960,Aditya Bose,Male,18.0,18-25,Bengaluru,Karnataka,South,12.9716,77.5946,P1012,Allen Solly Formal Shirt,Fashion,Men'S Clothing,1,1522.97,29.3,1076.05,861.31,214.74,19.96,Upi,Delivered,5,4.1,Premium,Mobile Web,18
68,ORD102182,2024-05-21,CUST12119,Gaurav Iyer,Male,45.0,36-45,Nagpur,Maharashtra,West,21.1458,79.0882,P1050,Adidas Track Pants,Sports,Sportswear,2,2162.46,4.4,4133.43,2839.78,1293.65,31.3,Debit Card,Delivered,5,4.1,Regular,Mobile App,45
69,ORD101626,2024-04-19,CUST12285,Yash Rao,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1014,Biba Anarkali Kurta,Fashion,Women'S Clothing,2,2343.9,21.9,3658.83,2440.98,1217.85,33.29,Upi,Shipped,1,4.7,Budget,Desktop,32
70,ORD111161,2025-08-13,CUST10628,Anjali Deshmukh,Male,18.0,18-25,Ahmedabad,Gujarat,West,23.0225,72.5714,P1052,Sg Cricket Kit,Sports,Outdoor Gear,2,6737.21,6.8,12553.02,9909.8,2643.22,21.06,Credit Card,Delivered,2,5.0,Budget,Desktop,18
71,ORD103650,2024-08-16,CUST10280,Sameer Khan,Male,28.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1028,Chumbak Wall Clock,Home & Furniture,Home Decor,1,1721.3,8.3,1577.93,1139.32,438.61,27.8,Upi,Delivered,6,4.3,Corporate,Mobile App,28
72,ORD109643,2025-05-27,CUST13014,Priya Pandey,Male,22.0,18-25,Hyderabad,Telangana,South,17.385,78.4867,P1007,Sony Wh-Ch520,Electronics,Headphones,2,5106.65,3.5,9851.74,7686.0,2165.74,21.98,Debit Card,Shipped,4,5.0,Regular,Desktop,22
73,ORD112746,2025-10-12,CUST10503,Karan Kaur,Female,50.0,46-60,Bengaluru,Karnataka,South,12.9716,77.5946,P1007,Sony Wh-Ch520,Electronics,Headphones,1,5463.6,11.4,4841.43,3837.1,1004.33,20.74,Emi,Delivered,3,4.6,Regular,Mobile App,50
74,ORD101543,2024-04-14,CUST10447,Pooja Bhat,Male,43.0,36-45,Delhi,Delhi,North,28.7041,77.1025,P1013,Us Polo Assn Polo T-Shirt,Fashion,Men'S Clothing,2,1077.2,26.9,1575.15,1249.44,325.71,20.68,Cash On Delivery,Delivered,3,4.0,Budget,Mobile App,43
75,ORD108625,2025-04-03,CUST13385,Pooja Rao,Male,36.0,36-45,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,5,594.15,16.2,2490.48,2625.53,-135.05,-5.42,Cash On Delivery,Delivered,4,3.6,Budget,Desktop,36
76,ORD108350,2025-03-19,CUST10157,Karan Verma,Male,35.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1016,Fabindia Cotton Saree,Fashion,Women'S Clothing,1,3257.67,12.5,2850.04,1954.87,895.17,31.41,Cash On Delivery,Delivered,2,4.7,Premium,Mobile App,35
77,ORD101897,2024-05-05,CUST11868,Kabir Rao,Male,32.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1017,Bata Formal Shoes,Fashion,Footwear,3,1877.44,11.4,4991.29,3458.41,1532.88,30.71,Debit Card,Delivered,6,4.6,Regular,Mobile App,32
78,ORD110899,2025-07-31,CUST10428,Pranav Khan,Female,18.0,18-25,Bhubaneswar,Odisha,East,20.2961,85.8245,P1046,Maggi Noodles Pack Of 12,Grocery,Packaged Food,1,183.17,0.0,183.17,159.62,23.55,12.86,Cash On Delivery,Delivered,7,3.7,Premium,Mobile App,18
79,ORD104727,2024-10-04,CUST12751,Gaurav Rao,Female,40.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1067,Blue Star 1T Window Ac,Appliances,Air Conditioners,1,32454.58,21.8,25372.07,25342.52,29.55,0.12,Credit Card,Delivered,2,4.5,Regular,Desktop,40
80,ORD113836,2025-11-15,CUST12930,Ananya Pandey,Male,43.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1004,Hp Pavilion 15,Electronics,Laptops,2,68230.94,10.0,122784.8,118104.36,4680.44,3.81,Credit Card,Delivered,5,4.2,Regular,Mobile App,43
81,ORD114879,2025-12-26,CUST12841,Suresh Pillai,Male,40.0,36-45,Pune,Maharashtra,West,18.5204,73.8567,P1039,Aashirvaad Atta 10Kg,Grocery,Staples,2,643.93,9.3,1168.52,1122.25,46.27,3.96,Net Banking,Shipped,2,4.4,Budget,Mobile App,40
82,ORD111292,2025-08-19,CUST13381,Vivaan Verma,Female,18.0,18-25,Chandigarh,Chandigarh,North,30.7333,76.7794,P1047,Kore Dumbbell Set 20Kg,Sports,Fitness Equipment,1,2225.47,17.3,1839.75,1629.51,210.24,11.43,Upi,Delivered,6,3.6,Regular,Mobile App,18
83,ORD112520,2025-10-06,CUST10817,Rohan Sheikh,Male,32.0,26-35,Kolkata,West Bengal,East,22.5726,88.3639,P1039,Aashirvaad Atta 10Kg,Grocery,Staples,1,645.67,17.8,531.0,584.44,-53.44,-10.06,Upi,Delivered,5,5.0,Premium,Mobile App,32
84,ORD109576,2025-05-23,CUST10246,Harsh Sheikh,Male,54.0,46-60,Thiruvananthapuram,Kerala,South,8.5241,76.9366,P1049,Nivia Football Jersey,Sports,Sportswear,1,1008.77,14.1,866.18,647.01,219.17,25.3,Debit Card,Delivered,5,4.2,Budget,Mobile App,54
85,ORD112148,2025-09-23,CUST12985,Suresh Patil,Male,18.0,18-25,Bhopal,Madhya Pradesh,Central,23.2599,77.4126,P1049,Nivia Football Jersey,Sports,Sportswear,1,1294.02,13.2,1123.46,829.69,293.77,26.15,Emi,Delivered,6,4.1,Premium,Desktop,18
86,ORD104345,2024-09-17,CUST13384,Anjali Chatterjee,Female,48.0,46-60,Delhi,Delhi,North,28.7041,77.1025,P1047,Kore Dumbbell Set 20Kg,Sports,Fitness Equipment,1,3972.96,21.3,3125.12,2931.46,193.66,6.2,Credit Card,Delivered,5,4.3,Premium,Tablet,48
87,ORD102273,2024-05-26,CUST10114,Farhan Das,Female,26.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1021,Wildcraft Laptop Backpack,Fashion,Bags,1,2139.81,25.2,1600.73,1278.34,322.39,20.14,Credit Card,Delivered,4,4.4,Budget,Mobile App,26
88,ORD114973,2025-12-30,CUST11856,Diya Bhat,Male,29.0,26-35,Chandigarh,Chandigarh,North,30.7333,76.7794,P1055,India After Gandhi,Books,Non-Fiction,3,709.13,0.0,2127.39,1590.97,536.42,25.21,Debit Card,Delivered,4,4.2,Regular,Mobile App,29
89,ORD110618,2025-07-17,CUST12550,Gaurav Verma,Female,31.0,26-35,Gurugram,Haryana,North,28.4595,77.0266,P1004,Hp Pavilion 15,Electronics,Laptops,2,86248.75,9.7,155839.06,147431.95,-2617.41,-1.68,Emi,Cancelled,2,3.3,Premium,Mobile App,31
