Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Latitude,Longitude,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount_Percentage,Sales,Cost,Profit,Profit_Margin,Payment_Method,Order_Status,Delivery_Days,Customer_Rating,Customer_Segment,Device_Type
ORD100844,2024-03-02,CUST13322,Swapnil Mehta,Female,32.0,26-35,Nagpur, Maharashtra,West,21.1458,79.0882,P1023,Nilkamal Study Table,Home & Furniture,Furniture,1,4517.0,0.0,4517.0,3225.29,1291.71,28.6,UPI,Delivered,5.0,,Corporate,Mobile App
ORD113228,2025-10-26,CUST11619,Diya Bhat,Male,53.0,46-60,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1008,Canon EOS 1500D,Electronics,Cameras,3,46796.63,22.5,108783.15,110614.11,-811.67,-0.75,Cash on Delivery,Cancelled,3.0,4.2,Premium,Mobile Web
ORD111192,2025-08-14,CUST12129,Kabir Deshmukh,Female,32.0,26-35,Ahmedabad,Gujarat,West,23.0225,72.5714,P1012,Allen Solly Formal Shirt,Fashion,Men's Clothing,1,2548.37,20.8,2019.24,1398.85,620.39,30.72,Credit Card,Delivered,3.0,4.4,Premium,Mobile App
ORD109568,2025-05-23,CUST11005,Sameer Bose,Female,,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1048,Cockatoo Exercise Cycle,Sports,Fitness Equipment,1,15156.32,9.4,13732.98,11698.09,2034.89,14.82,Credit Card,Delivered,4.0,3.5,Regular,Desktop
ORD100379,2024-01-28,CUST11379,Imran Mishra,Female,47.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1003,OnePlus Nord CE4,Electronics,Smartphones,1,30272.41,23.4,23177.01,26226.98,-3049.97,-13.16,UPI,Delivered,3.0,4.2,Regular,Mobile Web
ORD104700,2024-10-03,CUST11374,Siddharth Menon,Female,27.0,26-35,Surat,Gujarat,West,21.1702,72.8311,P1035,Lakme Absolute Lipstick,Beauty,Makeup,1,592.29,24.1,449.64,283.02,166.62,37.06,Cash on Delivery,Delivered,6.0,3.6,Corporate,Mobile Web
ORD113521,2025-11-04,CUST13156,Sneha Singh,Male,39.0,36-45,Delhi,Delhi,North,28.7041,77.1025,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,20801.5,26.7,15244.37,16834.87,-1590.5,-10.43,UPI,Delivered,4.0,4.9,Regular,Mobile Web
ORD105999,2024-11-14,CUST13100,Amit Reddy,Female,25.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1013,US Polo Assn Polo T-Shirt,Fashion,Men's Clothing,2,1414.38,29.9,1984.35,1549.8,434.55,21.9,UPI,Shipped,3.0,4.3,Regular,Mobile App
ORD112274,2025-09-28,CUST13257,Arjun Iyer,Male,45.0,36-45,Bhubaneswar,Odisha,East,20.2961,85.8245,P1016,Fabindia Cotton Saree,Fashion,Women's Clothing,2,2571.12,30.4,3579.23,3063.79,515.44,14.4,UPI,Delivered,6.0,3.7,Premium,Mobile App
ORD113347,2025-10-30,CUST13188,Rahul Khan,Female,20.0,18-25,Kolkata,West Bengal,East,22.5726,88.3639,P1005,Lenovo IdeaPad Slim 3, Electronics,Laptops,1,47043.71,20.2,37538.17,40757.59,-3219.42,-8.58,UPI,Delivered,5.0,4.4,Premium,Mobile App
ORD113818,2025-11-14,CUST12833,Shruti Mehta,Male,30.0,26-35,Ahmedabad,Gujarat,West,23.0225,72.5714,P1020,Fastrack Casual Watch,Fashion,Watches,1,1800.57,30.6,1248.9,1016.24,232.66,18.63,Wallet,Delivered,3.0,4.1,Corporate,Mobile App
ORD102536,2024-06-12,CUST10331,Amit Naidu,Male,35.0,26-35,Pune,Maharashtra,West,18.5204,73.8567,P1039,Aashirvaad Atta 10kg,Grocery,Staples,5,543.32,4.3,2601.01,2382.91,218.1,8.39,Cash on Delivery,Delivered,3.0,4.8,Budget,Mobile Web
ORD106841,2024-12-19,CUST10907,Rajesh Shah,Male,53.0,46-60,Surat,Gujarat,West,21.1702,72.8311,P1066,Voltas 1.5T Split AC,Appliances,Air Conditioners,1,35782.61,13.2,31051.63,29974.31,1077.32,3.47,Debit Card,Delivered,3.0,4.4,Regular,Mobile App
ORD109748,2025-06-01,CUST10678,Nikhil Shah,Female,,26-35,Jaipur,Rajasthan,North,26.9124,75.7873,P1001,Redmi Note 13 5G,Electronics,Smartphones,1,15125.9,14.3,12961.69,12421.8,539.89,4.17,Cash on Delivery,Delivered,5.0,3.2,Budget,Desktop
ORD105862,2024-11-09,CUST13445,Rohan Sheikh,Female,37.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1022,Hidesign Leather Handbag,Fashion,Bags,2,4304.28,30.3,6003.0,5129.26,873.74,14.56,UPI,Delivered,6.0,3.3,Regular,Mobile App
ORD101545,2024-04-15,CUST13136,Neha Naidu,Female,33.0,26-35,Kochi,Kerala,South,9.9312,76.2673,P1031,Minimalist Vitamin C Serum,Beauty,Skincare,2,678.52,16.5,1133.23,730.67,402.56,35.52,Cash on Delivery,Delivered,8.0,4.2,Premium,Mobile App
ORD112022,2025-09-18,CUST10744,Amit Sharma,Male,40.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1064,Bajaj 20L Solo Microwave,Appliances,Microwaves,1,6673.93,16.0,5607.99,4999.13,608.86,10.86,Credit Card,Delivered,4.0,5.0,Premium,Mobile App
ORD114361,2025-12-03,CUST10560,Deepak Shah,Male,41.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1012,Allen Solly Formal Shirt,Fashion,Men's Clothing,1,1385.68,30.5,963.03,786.19,176.84,18.36,UPI,Delivered,4.0,5.0,Budget,Mobile App
ORD105589,2024-10-30,CUST12116,Arjun Kaur,Male,23.0,18-25,Ahmedabad,Gujarat,West,23.0225,72.5714,P1063,Whirlpool 7kg Top Load,Appliances,Washing Machines,1,20604.67,9.6,18618.08,16166.84,2451.24,13.17,UPI,Delivered,4.0,,Budget,Mobile App
ORD109501,2025-05-20,CUST10996,Pooja Mehta,Female,51.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1007,Sony WH-CH520,Electronics,Headphones,1,6722.21,5.1,6382.07,5039.95,1342.12,21.03,UPI,Delivered,3.0,5.0,Regular,Tablet
ORD102908,2024-07-06,CUST13430,Meera Menon,Female,,36-45,Ludhiana,Punjab,North,30.901,75.8573,P1045,MTR Ready to Eat Combo,Grocery,Packaged Food,1,494.5,11.8,436.36,409.96,26.4,6.05,Cash on Delivery,Delivered,3.0,3.8,Budget,Desktop
ORD111084,2025-08-09,CUST10659,Sunita Das,Female,40.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1064,Bajaj 20L Solo Microwave,Appliances,Microwaves,1,7824.36,8.9,7126.55,5971.36,1155.19,16.21,UPI,Delivered,4.0,4.1,Regular,Mobile App
ORD102412,2024-06-03,CUST11667,Manish Khan,Male,41.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1033,Mamaearth Onion Shampoo,Beauty,Haircare,4,459.86,17.9,1510.35,933.3,577.05,38.21,UPI,Delivered,4.0,4.4,Regular,Mobile App
ORD110601,2025-07-17,CUST13568,Aarav Shah,Male,18.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1021,Wildcraft Laptop Backpack,Fashion,Bags,3,2521.57,20.2,6038.35,4607.19,1431.16,23.7,Cash on Delivery,Delivered,3.0,5.0,Regular,Mobile App
ORD100155,2024-01-11,CUST11687,Yash Banerjee,Female,28.0,26-35,Delhi,Delhi,North,28.7041,77.1025,P1067,Blue Star 1T Window AC,Appliances,Air Conditioners,2,29210.35,16.8,48608.43,46909.89,1698.54,3.49,UPI,Delivered,5.0,4.4,Regular,Mobile App
ORD104025,2024-09-04,CUST10935,Vivaan Pillai,Male,38.0,36-45,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1032,Cetaphil Moisturiser,Beauty,Skincare,2,972.31,10.2,1745.61,1143.46,602.15,34.5,UPI,Shipped,7.0,3.9,Premium,Mobile App
ORD108125,2025-03-06,CUST12949,Aarav Gill,Female,46.0,46-60,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1043,Bru Instant Coffee 200g,Grocery,Beverages,4,510.84,12.1,1796.61,1769.46,27.15,1.51,Debit Card,Delivered,3.0,4.8,Premium,Mobile App
ORD106046,2024-11-16,CUST11290,Swapnil Das,Female,44.0,36-45,Mumbai,Maharashtra,West,19.076,72.8777,P1017,Bata Formal Shoes,Fashion,Footwear,2,2185.91,34.6,2858.37,2597.14,261.23,9.14,Debit Card,Delivered,5.0,4.0,Regular,Desktop
ORD103379,2024-07-31,CUST11109,Priya Bhat,Male,32.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1040,India Gate Basmati Rice 5kg,Grocery,Staples,3,788.28,0.0,2364.84,2082.92,281.92,11.92,Debit Card,Delivered,5.0,4.5,Premium,Mobile App
ORD100998,2024-03-12,CUST12023,Kavya Sharma,Female,32.0,26-35,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,21645.22,17.4,17868.58,18199.04,-330.46,-1.85,Net Banking,Delivered,4.0,4.4,Budget,Mobile App
ORD104791,2024-10-05,CUST12659,Shruti Iyer,Male,33.0,26-35,Thiruvananthapuram,Kerala,South,8.5241,76.9366,P1036,Maybelline Fit Me Foundation,Beauty,Makeup,1,921.68,19.5,742.28,504.84,237.44,31.99,Credit Card,Delivered,5.0,4.7,Premium,Mobile App
ORD109374,2025-05-15,CUST10012,Suresh Kaur,Male,29.0,26-35,Surat,Gujarat,West,21.1702,72.8311,P1021,Wildcraft Laptop Backpack,Fashion,Bags,2,2748.9,25.4,4103.68,3338.58,765.1,18.64,Credit Card,Delivered,2.0,4.4,Premium,Mobile App
ORD113158,2025-10-24,CUST12346,Aarav Patil,Male,27.0,26-35,Jaipur,Rajasthan,North,26.9124,75.7873,P1038,Fogg Body Spray,Beauty,Fragrances,2,379.59,19.8,609.13,424.63,-148.88,-24.44,UPI,Returned,5.0,2.9,Regular,Desktop
ORD105327,2024-10-22,CUST10490,Ananya Chatterjee,Male,37.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1038,Fogg Body Spray,Beauty,Fragrances,1,331.71,28.5,237.32,181.97,55.35,23.32,Net Banking,Delivered,3.0,3.9,Regular,Desktop
ORD111149,2025-08-12,CUST13369,Ishita Nair,Female,32.0,26-35,Bengaluru,karnataka,South,12.9716,77.5946,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,2,1227.89,7.8,2263.97,2305.87,-41.9,-1.85,Net Banking,Delivered,3.0,4.6,Regular,Mobile App
ORD111135,2025-08-11,CUST10306,Zoya Mehta,Female,23.0,18-25,Bengaluru,Karnataka,South,12.9716,77.5946,P1003,OnePlus Nord CE4,Electronics,Smartphones,1,28454.13,8.5,26025.74,24473.29,-464.73,-1.79,Cash on Delivery,Cancelled,2.0,,Regular,Mobile App
ORD107468,2025-01-22,CUST11839,Diya Pillai,Female,39.0,36-45,Surat,Gujarat,West,21.1702,72.8311,P1061,Samsung 192L Single Door,Appliances,Refrigerators,1,21032.23,0.9,20850.01,16503.12,-3105.82,-14.9,UPI,Returned,5.0,3.3,Corporate,Desktop
ORD107364,2025-01-15,CUST13154,Farhan Iyer,Female,32.0,26-35,Kolkata,West Bengal,East,22.5726,88.3639,P1055,India After Gandhi,Books,Non-Fiction,2,631.57,0.0,1263.14,947.84,315.3,24.96,Net Banking,Delivered,3.0,5.0,Corporate,Desktop
ORD111413,2025-08-25,CUST12353,Vikram Gupta,Male,38.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1050,Adidas Track Pants,Sports,Sportswear,1,2470.57,1.2,2439.85,1644.06,-292.39,-11.98,Cash on Delivery,Returned,6.0,3.1,Premium,Mobile App
ORD103447,2024-08-04,CUST12181,Aarav Pillai,Female,54.0,46-60,Bengaluru,Karnataka,South,12.9716,77.5946,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,3,795.4,11.9,2101.64,2126.29,-402.75,-19.16,UPI,Returned,2.0,3.5,Budget,Mobile App
ORD109618,2025-05-25,CUST12913,Pooja Chatterjee,Male,36.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,1,10295.58,3.6,9920.0,7628.12,2291.88,23.1,UPI,Delivered,2.0,4.6,Budget,Mobile App
ORD104431,2024-09-21,CUST11810,Meera Deshmukh,Female,21.0,18-25,Pune,Maharashtra,West,18.5204,73.8567,P1006,boAt Rockerz 450,Electronics,Headphones,1,1965.06,20.8,1555.44,1282.51,272.93,17.55,UPI,Delivered,3.0,4.5,Budget,Mobile App
ORD113077,2025-10-22,CUST10202,Kabir Bhat,Male,25.0,18-25,Mumbai,Maharashtra,West,19.076,72.8777,P1050,Adidas Track Pants,Sports,Sportswear,1,3699.14,16.7,3079.79,2520.8,558.99,18.15,Credit Card,Delivered,4.0,4.7,Regular,Mobile App
ORD106726,2024-12-13,CUST12813,Nikhil Pandey,Male,19.0,18-25,Mysuru,Karnataka,South,12.2958,76.6394,P1037,Nykaa Eau de Parfum,Beauty,Fragrances,2,1232.23,14.6,2105.06,1229.42,-286.44,-13.61,UPI,Returned,6.0,4.0,Budget,Desktop
ORD104414,2024-09-21,CUST12159,Tejas Kulkarni,Male,29.0,26-35,Pune,Maharashtra,West,18.5204,73.8567,P1013,US Polo Assn Polo T-Shirt, Fashion ,Men's Clothing,1,1583.83,17.4,1308.68,901.03,407.65,31.15,UPI,Delivered,6.0,4.0,Premium,Mobile App
ORD105952,2024-11-12,CUST10512,Imran Khan,Female,,36-45,Pune,Maharashtra,West,18.5204,73.8567,P1040,India Gate Basmati Rice 5kg,Grocery,Staples,3,675.23,21.2,1597.15,1845.52,-248.37,-15.55,UPI,Shipped,2.0,,Budget,Mobile App
ORD100610,2024-02-13,CUST10824,Ananya Mishra,Male,40.0,36-45,Kanpur,Uttar Pradesh,North,26.4499,80.3319,P1043,Bru Instant Coffee 200g,Grocery,Beverages,1,604.68,13.8,520.99,517.5,3.49,0.67,Debit Card,Delivered,8.0,4.4,Premium,Mobile App
ORD100664,2024-02-17,CUST11253,Aditya Iyer,Female,31.0,26-35,Coimbatore,Tamil Nadu,South,11.0168,76.9558,P1046,Maggi Noodles Pack of 12,Grocery,Packaged Food,1,152.83,7.8,140.92,135.44,5.48,3.89,Cash on Delivery,Delivered,5.0,4.3,Budget,Mobile Web
ORD106499,2024-12-03,CUST13229,Yash Mishra,Female,30.0,26-35,Guwahati,Assam,Northeast,26.1445,91.7362,P1007,Sony WH-CH520,Electronics,Headphones,1,3759.96,12.5,3288.52,2862.42,426.1,12.96,UPI,Delivered,6.0,4.3,Premium,Mobile App
ORD103996,2024-09-02,CUST12336,Rohan Pandey,Female,38.0,36-45,Hyderabad,Telangana,South,17.385,78.4867,P1007,Sony WH-CH520,electronics,Headphones,1,5434.97,13.6,4695.29,4091.11,604.18,12.87,UPI,Delivered,2.0,5.0,Corporate,Desktop
ORD107794,2025-02-13,CUST10930,Pooja Naidu,Female,34.0,26-35,Hyderabad,Telangana,South,17.385,78.4867,P1010,Apple Watch SE,Electronics,Smart Watches,3,39635.94,2.4,116085.52,106640.16,9445.36,8.14,Credit Card,Delivered,3.0,4.9,Regular,Mobile App
ORD104812,2024-10-06,CUST10406,Vivaan Sheikh,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1053,The White Tiger,Books,Fiction,3,623.75,13.0,1627.74,1358.24,269.5,16.56,UPI,Delivered,4.0,4.8,Premium,Desktop
ORD104848,2024-10-07,CUST12627,Deepak Chatterjee,Male,40.0,36-45,Bengaluru,Karnataka,South,12.9716,77.5946,P1016,Fabindia Cotton Saree,Fashion,Women's Clothing,2,5058.28,27.6,7319.63,5953.39,1366.24,18.67,cash on delivery,Delivered,5.0,3.7,Budget,Mobile App
ORD102092,2024-05-16,CUST11225,Sameer Reddy,Male,21.0,18-25,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,23707.45,19.7,19027.33,19670.2,-642.87,-3.38,Credit Card,Delivered,3.0,4.9,Premium,Mobile App
ORD112874,2025-10-17,CUST12175,Anil Chauhan,Male,52.0,46-60,Mumbai,Maharashtra,West,19.076,72.8777,P1005,Lenovo IdeaPad Slim 3,Electronics,Laptops,1,62498.75,10.9,55663.58,51705.16,3958.42,7.11,EMI,Delivered,3.0,4.3,Corporate,Mobile App
ORD104552,2024-09-26,CUST13118,Anil Pandey,Female,44.0,36-45,Jaipur,Rajasthan,North,26.9124,75.7873,P1029,Pepperfry Table Lamp,Home & Furniture,Home Decor,1,1889.77,11.8,1665.97,1273.25,392.72,23.57,UPI,Delivered,3.0,5.0,Premium,Mobile Web
ORD100150,2024-01-11,CUST12052,Suresh Sharma,male,28.0,26-35,Chennai,Tamil Nadu,South,13.0827,80.2707,P1002,Samsung Galaxy M35,Electronics,Smartphones,1,23011.91,10.7,20544.36,18652.86,1891.5,9.21,Net Banking,Delivered,4.0,4.0,Regular,Mobile Web
ORD101321,2024-04-01,CUST10595,Aditi Sharma,Male,43.0,36-45,Kolkata,West Bengal,East,22.5726,88.3639,P1005,Lenovo IdeaPad Slim 3,Electronics,Laptops,1,46247.69,11.7,40814.8,38791.46,2023.34,4.96,Debit Card,Delivered,2.0,4.7,Regular,Mobile Web
ORD104594,2024-09-28,CUST11509,Pooja Rao,Male,42.0,36-45,Mysuru,Karnataka,South,12.2958,76.6394,P1006,boAt Rockerz 450,ELECTRONICS,Headphones,1,2318.74,13.0,2016.56,1616.75,399.81,19.83,Debit Card,Delivered,7.0,4.0,Premium,Mobile Web
ORD114788,2025-12-22,CUST10496,Ananya Chatterjee,Male,39.0,36-45,Pune,Maharashtra,West,18.5204,73.8567,P1028,Chumbak Wall Clock,Home & Furniture,Home Decor,3,1356.11,16.2,3407.74,2581.6,826.14,24.24,Credit Card,Delivered,3.0,4.3,Budget,Mobile App
ORD104550,2024-09-26,CUST10807,Rajesh Pandey,Female,29.0,26-35,Gurugram,Haryana,North,28.4595,77.0266,P1024,Godrej Interio Bookshelf,Home & Furniture,Furniture,2,14998.75,11.1,26654.25,21765.83,4888.42,18.34,Credit Card,Delivered,4.0,5.0,Premium,Mobile App
ORD106110,2024-11-18,CUST10240,Anjali Iyer,Male,46.0,46-60,Coimbatore,Tamil Nadu,South,11.0168,76.9558,P1042,Tata Tea Premium 1kg,Grocery,Beverages,2,387.49,17.5,639.2,658.72,-19.52,-3.05,UPI,Delivered,6.0,3.2,Budget,Mobile App
ORD105477,2024-10-26,CUST11178,Yash Joshi,Male,38.0,36-45,Mumbai,Maharashtra,West,19.076,72.8777,P1036,Maybelline Fit Me Foundation,Beauty,Makeup,1,1165.8,24.6,878.52,608.84,269.68,30.7,UPI,Delivered,5.0,3.8,Budget,Mobile App
ORD113392,2025-10-31,CUST11960,Aditya Bose,Male,18.0,18-25,Bengaluru,Karnataka,South,12.9716,77.5946,P1012,Allen Solly Formal Shirt,Fashion,Men's Clothing,1,1522.97,29.3,1076.05,861.31,214.74,19.96,UPI,Delivered,5.0,4.1,Premium,Mobile Web
ORD102182,2024-05-21,CUST12119,Gaurav Iyer,Male,45.0,36-45,Nagpur,Maharashtra,West,21.1458,79.0882,P1050,Adidas Track Pants,Sports,Sportswear,2,2162.46,4.4,4133.43,2839.78,1293.65,31.3,Debit Card,Delivered,5.0,4.1,Regular,Mobile App
ORD101626,2024-04-19,CUST12285,Yash Rao,Male,32.0,26-35,Mumbai,Maharashtra,West,19.076,72.8777,P1014,Biba Anarkali Kurta,Fashion,Women's Clothing,2,2343.9,21.9,3658.83,2440.98,1217.85,33.29,UPI,Shipped,1.0,4.7,Budget,Desktop
ORD111161,2025-08-13,CUST10628,Anjali Deshmukh,Male,18.0,18-25,Ahmedabad,Gujarat,West,23.0225,72.5714,P1052,SG Cricket Kit,Sports,Outdoor Gear,2,6737.21,6.8,12553.02,9909.8,2643.22,21.06,Credit Card,Delivered,2.0,5.0,Budget,Desktop
ORD103650,2024-08-16,CUST10280,Sameer Khan,Male,28.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1028,Chumbak Wall Clock,Home & Furniture,Home Decor,1,1721.3,8.3,1577.93,1139.32,438.61,27.8,UPI,Delivered,6.0,4.3,Corporate,Mobile App
ORD109643,2025-05-27,CUST13014,Priya Pandey,Male,22.0,18-25,Hyderabad,Telangana,South,17.385,78.4867,P1007,Sony WH-CH520,Electronics,Headphones,2,5106.65,3.5,9851.74,7686.0,2165.74,21.98,Debit Card,Shipped,4.0,5.0,Regular,Desktop
ORD112746,2025-10-12,CUST10503,Karan Kaur,Female,50.0,46-60,Bengaluru,Karnataka,South,12.9716,77.5946,P1007,Sony WH-CH520,Electronics,Headphones,1,5463.6,11.4,4841.43,3837.1,1004.33,20.74,EMI,Delivered,3.0,4.6,Regular,Mobile App
ORD101543,2024-04-14,CUST10447,Pooja Bhat,Male,43.0,36-45,Delhi,Delhi,North,28.7041,77.1025,P1013,US Polo Assn Polo T-Shirt,Fashion,Men's Clothing,2,1077.2,26.9,1575.15,1249.44,325.71,20.68,Cash on Delivery,Delivered,3.0,4.0,Budget,Mobile App
ORD108625,2025-04-03,CUST13385,Pooja Rao,Male,36.0,36-45,Indore,Madhya Pradesh,Central,22.7196,75.8577,P1041,Fortune Sunflower Oil 5L,Grocery,Staples,5,594.15,16.2,2490.48,2625.53,-135.05,-5.42,Cash on Delivery,Delivered,4.0,3.6,Budget,Desktop
ORD106201,2024-11-22,CUST10507,Manish Singh,Female,53.0,46-60,Nagpur,Maharashtra,West,21.1458,79.0882,P1007,Sony WH-CH520,Electronics,Headphones,2,3979.09,19.7,6390.04,5828.53,-72.82,-1.14,Net Banking,Cancelled,6.0,,Budget,Mobile App
ORD108350,2025-03-19,CUST10157,Karan Verma,Male,35.0,26-35,Bengaluru,Karnataka,South,12.9716,77.5946,P1016,Fabindia Cotton Saree,Fashion,Women's Clothing,1,3257.67,12.5,2850.04,1954.87,895.17,31.41,Cash on Delivery,Delivered,2.0,4.7,Premium,Mobile App
ORD101897,2024-05-05,CUST11868,Kabir Rao,Male,32.0,26-35,Nagpur,Maharashtra,West,21.1458,79.0882,P1017,Bata Formal Shoes,Fashion,Footwear,3,1877.44,11.4,4991.29,3458.41,1532.88,30.71,Debit Card,Delivered,6.0,4.6,Regular,Mobile App
ORD110899,2025-07-31,CUST10428,Pranav Khan,Female,18.0,18-25,Bhubaneswar,Odisha,East,20.2961,85.8245,P1046,Maggi Noodles Pack of 12,Grocery,Packaged Food,1,183.17,0.0,183.17,159.62,23.55,12.86,Cash on Delivery,Delivered,7.0,3.7,Premium,Mobile App
ORD104727,2024-10-04,CUST12751,Gaurav Rao,Female,40.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1067,Blue Star 1T Window AC,Appliances,Air Conditioners,1,32454.58,21.8,25372.07,25342.52,29.55,0.12,Credit Card,Delivered,2.0,4.5,Regular,Desktop
ORD113836,2025-11-15,CUST12930,Ananya Pandey,M,43.0,36-45,Chennai,Tamil Nadu,South,13.0827,80.2707,P1004,HP Pavilion 15,Electronics,Laptops,2,68230.94,10.0,122784.8,118104.36,4680.44,3.81,Credit Card,Delivered,5.0,4.2,Regular,Mobile App
ORD114879,2025-12-26,CUST12841,Suresh Pillai,Male,40.0,36-45,Pune,Maharashtra,West,18.5204,73.8567,P1039,Aashirvaad Atta 10kg,Grocery,Staples,2,643.93,9.3,1168.52,1122.25,46.27,3.96,Net Banking,Shipped,2.0,4.4,Budget,Mobile App
